iter	Passed	Remaining
227	3274	11086
228	3287	11069
229	3302	11056
230	3317	11044
231	3332	11032
232	3354	11043
233	3371	11037
234	3385	11019
235	3399	11005
236	3413	10990
237	3428	10976
238	3443	10963
239	3458	10951
240	3470	10931
241	3485	10916
242	3498	10899
243	3518	10900
244	3544	10922
245	3565	10928
246	3585	10931
247	3600	10917
248	3614	10902
249	3627	10883
250	3642	10868
251	3658	10859
252	3673	10846
253	3688	10832
254	3703	10819
255	3715	10798
256	3731	10786
257	3746	10773
258	3760	10759
259	3774	10742
260	3788	10726
261	3802	10710
262	3813	10686
263	3827	10670
264	3842	10657
265	3856	10642
266	3870	10624
267	3884	10608
268	3897	10592
269	3909	10570
270	3925	10558
271	3940	10546
272	3955	10533
273	3969	10518
274	3984	10504
275	3999	10490
276	4013	10475
277	4024	10453
278	4039	10439
279	4054	10427
280	4070	10414
281	4083	10397
282	4097	10380
283	4111	10364
284	4123	10344
285	4141	10340
286	4155	10322
287	4170	10310
288	4186	10299
289	4201	10286
290	4217	10274
291	4231	10259
292	4245	10243
293	4260	10229
294	4273	10213
295	4286	10194
296	4301	10180
297	4317	10170
298	4340	10175
299	4354	10159
300	4367	10141
301	4381	10126
302	4397	10116
303	4410	10096
304	4425	10084
305	4441	10072
306	4455	10058
307	4469	10041
308	4482	10023
309	4495	10006
310	4510	9993
311	4524	9976
312	4538	9962
313	4552	9946
314	4566	9930
315	4579	9911
316	4594	9899
317	4609	9886
318	4623	9870
319	4637	9855
320	4652	9840
321	4666	9826
322	4680	9811
323	4695	9797
324	4709	9781
325	4723	9766
326	4738	9751
327	4754	9739
328	4767	9723
329	4782	9710
330	4798	9698
331	4812	9683
332	4827	9669
333	4843	9657
334	4856	9640
335	4869	9623
336	4883	9608
337	4898	9593
338	4913	9580
339	4926	9563
340	4941	9548
341	4954	9531
342	4968	9516
343	4983	9502
344	4998	9489
345	5011	9472
346	5025	9456
347	5039	9442
348	5054	9427
349	5066	9409
350	5081	9394
351	5097	9383
352	5112	9370
353	5126	9354
354	5139	9338
355	5154	9323
356	5168	9309
357	5181	9291
358	5195	9276
359	5210	9262
360	5223	9246
361	5239	9234
362	5254	9220
363	5268	9205
364	5282	9190
365	5295	9173
366	5318	9172
367	5334	9161
368	5350	9149
369	5364	9134
370	5376	9115
371	5396	9110
372	5410	9094
373	5425	9080
374	5439	9065
375	5453	9050
376	5472	9043
377	5499	9049
378	5522	9049
379	5541	9041
380	5554	9024
381	5568	9008
382	5581	8992
383	5595	8976
384	5610	8962
385	5628	8952
386	5642	8937
387	5656	8921
388	5670	8906
389	5685	8892
390	5699	8877
391	5714	8863
392	5728	8847
393	5742	8832
394	5756	8817
395	5770	8801
396	5782	8783
397	5797	8769
398	5812	8755
399	5827	8741
400	5842	8727
401	5857	8712
402	5873	8700
403	5887	8686
404	5901	8670
405	5915	8655
406	5928	8637
